Agent,Version,File Name,Download Path
Cluster Agent - Alpine AMD64 Container (zip),24.7.0.519,appdynamics-cluster-agent-alpine_linux_amd64-24.7.0.519.zip,download-file/cluster-agent/24.7.0.519/appdynamics-cluster-agent-alpine_linux_amd64-24.7.0.519.zip
iOS Agent (zip),2024.6.0.4446,iOSAgent-2024.6.0.4446.zip,download-file/ios/2024.6.0.4446/iOSAgent-2024.6.0.4446.zip
